GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
455116169,Connect4,9,GAME_OVER,20,1,2,406,random,1.0,-1.0,FirstAction,1,random,1,2,2,FirstAction,FirstAction,random,1
-135126267,Connect4,27,GAME_OVER,56,1,2,407,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
-1104994455,Connect4,6,GAME_OVER,14,1,2,408,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
-1572179204,Connect4,5,GAME_OVER,12,1,2,409,rmhc,1.0,-1.0,OSLA,1,rmhc,1,2,2,OSLA,OSLA,rmhc,1
391430978,Connect4,3,GAME_OVER,7,0,2,410,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
-634538452,Connect4,10,GAME_OVER,22,1,2,411,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
-705544372,Connect4,3,GAME_OVER,7,0,2,412,BasicMCTS,-1.0,1.0,OSLA,2,BasicMCTS,2,1,1,OSLA,OSLA,BasicMCTS,0
-361852143,Connect4,7,GAME_OVER,15,0,2,413,rhea,-1.0,1.0,random,2,rhea,2,1,1,random,random,rhea,0
-1325350835,Connect4,5,GAME_OVER,11,0,2,414,FirstAction,-1.0,1.0,rmhc,2,FirstAction,2,1,1,rmhc,rmhc,FirstAction,0
1951513964,Connect4,3,GAME_OVER,7,0,2,415,mcts,-1.0,1.0,FirstAction,2,mcts,2,1,1,FirstAction,FirstAction,mcts,0
-10267864,Connect4,3,GAME_OVER,7,0,2,416,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1051212857,Connect4,5,GAME_OVER,11,0,2,417,OSLA,-1.0,1.0,random,2,OSLA,2,1,1,random,random,OSLA,0
-843539809,Connect4,3,GAME_OVER,7,0,2,418,BasicMCTS,-1.0,1.0,OSLA,2,BasicMCTS,2,1,1,OSLA,OSLA,BasicMCTS,0
492116933,Connect4,7,GAME_OVER,15,0,2,419,rmhc,-1.0,1.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1673516843,Connect4,3,GAME_OVER,7,0,2,420,mcts,-1.0,1.0,random,2,mcts,2,1,1,random,random,mcts,0
-1644783328,Connect4,6,GAME_OVER,14,1,2,421,FirstAction,1.0,-1.0,BasicMCTS,1,FirstAction,1,2,2,BasicMCTS,BasicMCTS,FirstAction,1
785618193,Connect4,4,GAME_OVER,9,0,2,422,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
164107350,Connect4,3,GAME_OVER,7,0,2,423,mcts,-1.0,1.0,random,2,mcts,2,1,1,random,random,mcts,0
119805228,Connect4,3,GAME_OVER,7,0,2,424,FirstAction,-1.0,1.0,OSLA,2,FirstAction,2,1,1,OSLA,OSLA,FirstAction,0
1180524865,Connect4,3,GAME_OVER,7,0,2,425,BasicMCTS,-1.0,1.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-29368582,Connect4,4,GAME_OVER,10,1,2,426,FirstAction,1.0,-1.0,BasicMCTS,1,FirstAction,1,2,2,BasicMCTS,BasicMCTS,FirstAction,1
-896687306,Connect4,3,GAME_OVER,8,1,2,427,OSLA,1.0,-1.0,rhea,1,OSLA,1,2,2,rhea,rhea,OSLA,1
-22515986,Connect4,4,GAME_OVER,10,1,2,428,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
1723718501,Connect4,3,GAME_OVER,7,0,2,429,rhea,-1.0,1.0,random,2,rhea,2,1,1,random,random,rhea,0
1272492570,Connect4,14,GAME_OVER,30,1,2,430,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
1334906756,Connect4,6,GAME_OVER,14,1,2,431,OSLA,1.0,-1.0,FirstAction,1,OSLA,1,2,2,FirstAction,FirstAction,OSLA,1
-1151432539,Connect4,7,GAME_OVER,16,1,2,432,rmhc,1.0,-1.0,mcts,1,rmhc,1,2,2,mcts,mcts,rmhc,1
-1659442669,Connect4,5,GAME_OVER,11,0,2,433,OSLA,-1.0,1.0,FirstAction,2,OSLA,2,1,1,FirstAction,FirstAction,OSLA,0
1952836281,Connect4,5,GAME_OVER,11,0,2,434,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-562427204,Connect4,3,GAME_OVER,8,1,2,435,random,1.0,-1.0,BasicMCTS,1,random,1,2,2,BasicMCTS,BasicMCTS,random,1
-1567090758,Connect4,3,GAME_OVER,7,0,2,436,rhea,-1.0,1.0,OSLA,2,rhea,2,1,1,OSLA,OSLA,rhea,0
-2117159789,Connect4,6,GAME_OVER,14,1,2,437,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
-1271235057,Connect4,4,GAME_OVER,10,1,2,438,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
-1162677940,Connect4,6,GAME_OVER,13,0,2,439,BasicMCTS,-1.0,1.0,rhea,2,BasicMCTS,2,1,1,rhea,rhea,BasicMCTS,0
386226635,Connect4,5,GAME_OVER,12,1,2,440,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
407432094,Connect4,4,GAME_OVER,10,1,2,441,FirstAction,1.0,-1.0,BasicMCTS,1,FirstAction,1,2,2,BasicMCTS,BasicMCTS,FirstAction,1
-2032569626,Connect4,6,GAME_OVER,13,0,2,442,OSLA,-1.0,1.0,rmhc,2,OSLA,2,1,1,rmhc,rmhc,OSLA,0
-2059796378,Connect4,5,GAME_OVER,11,0,2,443,rhea,-1.0,1.0,OSLA,2,rhea,2,1,1,OSLA,OSLA,rhea,0
-1298827275,Connect4,3,GAME_OVER,8,1,2,444,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
-2024790700,Connect4,11,GAME_OVER,23,0,2,445,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
828326013,Connect4,3,GAME_OVER,7,0,2,446,mcts,-1.0,1.0,rhea,2,mcts,2,1,1,rhea,rhea,mcts,0
149918999,Connect4,5,GAME_OVER,11,0,2,447,FirstAction,-1.0,1.0,rmhc,2,FirstAction,2,1,1,rmhc,rmhc,FirstAction,0
249780821,Connect4,4,GAME_OVER,9,0,2,448,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
-1423670158,Connect4,3,GAME_OVER,7,0,2,449,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
1491580847,Connect4,3,GAME_OVER,7,0,2,450,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
-123680615,Connect4,4,GAME_OVER,9,0,2,451,rhea,-1.0,1.0,random,2,rhea,2,1,1,random,random,rhea,0
765308874,Connect4,5,GAME_OVER,12,1,2,452,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
561061571,Connect4,3,GAME_OVER,7,0,2,453,BasicMCTS,-1.0,1.0,OSLA,2,BasicMCTS,2,1,1,OSLA,OSLA,BasicMCTS,0
-1626940844,Connect4,10,GAME_OVER,22,1,2,454,random,1.0,-1.0,rmhc,1,random,1,2,2,rmhc,rmhc,random,1
1747910116,Connect4,3,GAME_OVER,7,0,2,455,FirstAction,-1.0,1.0,rhea,2,FirstAction,2,1,1,rhea,rhea,FirstAction,0
1946234368,Connect4,9,GAME_OVER,20,1,2,456,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
-1383278889,Connect4,3,GAME_OVER,7,0,2,457,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1592607975,Connect4,3,GAME_OVER,7,0,2,458,OSLA,-1.0,1.0,rmhc,2,OSLA,2,1,1,rmhc,rmhc,OSLA,0
-1490406262,Connect4,4,GAME_OVER,10,1,2,459,random,1.0,-1.0,rhea,1,random,1,2,2,rhea,rhea,random,1
-1737994838,Connect4,5,GAME_OVER,11,0,2,460,mcts,-1.0,1.0,random,2,mcts,2,1,1,random,random,mcts,0
142777586,Connect4,3,GAME_OVER,7,0,2,461,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
607587945,Connect4,3,GAME_OVER,7,0,2,462,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-767740732,Connect4,5,GAME_OVER,12,1,2,463,FirstAction,1.0,-1.0,BasicMCTS,1,FirstAction,1,2,2,BasicMCTS,BasicMCTS,FirstAction,1
-1218181362,Connect4,6,GAME_OVER,13,0,2,464,mcts,-1.0,1.0,rhea,2,mcts,2,1,1,rhea,rhea,mcts,0
1470647111,Connect4,3,GAME_OVER,7,0,2,465,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-890355068,Connect4,15,GAME_OVER,32,1,2,466,rmhc,1.0,-1.0,random,1,rmhc,1,2,2,random,random,rmhc,1
2133321927,Connect4,3,GAME_OVER,8,1,2,467,OSLA,1.0,-1.0,rhea,1,OSLA,1,2,2,rhea,rhea,OSLA,1
-1425714490,Connect4,16,GAME_OVER,34,1,2,468,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
222990694,Connect4,3,GAME_OVER,7,0,2,469,FirstAction,-1.0,1.0,random,2,FirstAction,2,1,1,random,random,FirstAction,0
1161320946,Connect4,6,GAME_OVER,14,1,2,470,rmhc,1.0,-1.0,OSLA,1,rmhc,1,2,2,OSLA,OSLA,rmhc,1
1979021148,Connect4,3,GAME_OVER,7,0,2,471,rhea,-1.0,1.0,random,2,rhea,2,1,1,random,random,rhea,0
1530360516,Connect4,3,GAME_OVER,7,0,2,472,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
73900785,Connect4,3,GAME_OVER,8,1,2,473,rmhc,1.0,-1.0,BasicMCTS,1,rmhc,1,2,2,BasicMCTS,BasicMCTS,rmhc,1
1220039967,Connect4,3,GAME_OVER,7,0,2,474,FirstAction,-1.0,1.0,OSLA,2,FirstAction,2,1,1,OSLA,OSLA,FirstAction,0
1860236207,Connect4,3,GAME_OVER,7,0,2,475,FirstAction,-1.0,1.0,rmhc,2,FirstAction,2,1,1,rmhc,rmhc,FirstAction,0
-41465962,Connect4,7,GAME_OVER,15,0,2,476,BasicMCTS,-1.0,1.0,rhea,2,BasicMCTS,2,1,1,rhea,rhea,BasicMCTS,0
1373216150,Connect4,3,GAME_OVER,8,1,2,477,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
170220813,Connect4,3,GAME_OVER,7,0,2,478,BasicMCTS,-1.0,1.0,rhea,2,BasicMCTS,2,1,1,rhea,rhea,BasicMCTS,0
1345631846,Connect4,3,GAME_OVER,8,1,2,479,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
-1917569558,Connect4,3,GAME_OVER,7,0,2,480,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
-705897928,Connect4,5,GAME_OVER,12,1,2,481,random,1.0,-1.0,mcts,1,random,1,2,2,mcts,mcts,random,1
993005175,Connect4,9,GAME_OVER,19,0,2,482,OSLA,-1.0,1.0,random,2,OSLA,2,1,1,random,random,OSLA,0
-945966091,Connect4,6,GAME_OVER,14,1,2,483,rmhc,1.0,-1.0,BasicMCTS,1,rmhc,1,2,2,BasicMCTS,BasicMCTS,rmhc,1
1663787093,Connect4,3,GAME_OVER,7,0,2,484,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
-798122641,Connect4,5,GAME_OVER,11,0,2,485,rmhc,-1.0,1.0,random,2,rmhc,2,1,1,random,random,rmhc,0
-1546726599,Connect4,17,GAME_OVER,36,1,2,486,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
1210934320,Connect4,6,GAME_OVER,13,0,2,487,OSLA,-1.0,1.0,FirstAction,2,OSLA,2,1,1,FirstAction,FirstAction,OSLA,0
-497665713,Connect4,3,GAME_OVER,7,0,2,488,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
167500594,Connect4,3,GAME_OVER,7,0,2,489,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
2125196782,Connect4,3,GAME_OVER,7,0,2,490,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
920260385,Connect4,8,GAME_OVER,17,0,2,491,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
1605480834,Connect4,12,GAME_OVER,26,1,2,492,mcts,1.0,-1.0,BasicMCTS,1,mcts,1,2,2,BasicMCTS,BasicMCTS,mcts,1
-148176429,Connect4,3,GAME_OVER,8,1,2,493,OSLA,1.0,-1.0,FirstAction,1,OSLA,1,2,2,FirstAction,FirstAction,OSLA,1
-1359602726,Connect4,10,GAME_OVER,21,0,2,494,random,-1.0,1.0,rmhc,2,random,2,1,1,rmhc,rmhc,random,0
1006015259,Connect4,3,GAME_OVER,7,0,2,495,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
1580435011,Connect4,9,GAME_OVER,20,1,2,496,random,1.0,-1.0,rmhc,1,random,1,2,2,rmhc,rmhc,random,1
668925994,Connect4,4,GAME_OVER,10,1,2,497,OSLA,1.0,-1.0,rhea,1,OSLA,1,2,2,rhea,rhea,OSLA,1
-1904283382,Connect4,10,GAME_OVER,22,1,2,498,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
1981282318,Connect4,5,GAME_OVER,11,0,2,499,OSLA,-1.0,1.0,FirstAction,2,OSLA,2,1,1,FirstAction,FirstAction,OSLA,0
651654240,Connect4,6,GAME_OVER,13,0,2,500,rhea,-1.0,1.0,random,2,rhea,2,1,1,random,random,rhea,0
1857485589,Connect4,10,GAME_OVER,22,1,2,501,mcts,1.0,-1.0,BasicMCTS,1,mcts,1,2,2,BasicMCTS,BasicMCTS,mcts,1
1948275385,Connect4,11,GAME_OVER,23,0,2,502,rmhc,-1.0,1.0,random,2,rmhc,2,1,1,random,random,rmhc,0
1802527773,Connect4,3,GAME_OVER,7,0,2,503,rhea,-1.0,1.0,OSLA,2,rhea,2,1,1,OSLA,OSLA,rhea,0
344347419,Connect4,15,GAME_OVER,31,0,2,504,mcts,-1.0,1.0,BasicMCTS,2,mcts,2,1,1,BasicMCTS,BasicMCTS,mcts,0
879322655,Connect4,3,GAME_OVER,8,1,2,505,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
-837504010,Connect4,6,GAME_OVER,14,1,2,506,OSLA,1.0,-1.0,mcts,1,OSLA,1,2,2,mcts,mcts,OSLA,1
-1492368019,Connect4,3,GAME_OVER,7,0,2,507,FirstAction,-1.0,1.0,rmhc,2,FirstAction,2,1,1,rmhc,rmhc,FirstAction,0
-500868234,Connect4,3,GAME_OVER,7,0,2,508,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
419197822,Connect4,6,GAME_OVER,14,1,2,509,rhea,1.0,-1.0,BasicMCTS,1,rhea,1,2,2,BasicMCTS,BasicMCTS,rhea,1
1216608386,Connect4,3,GAME_OVER,7,0,2,510,FirstAction,-1.0,1.0,rhea,2,FirstAction,2,1,1,rhea,rhea,FirstAction,0
-1730689728,Connect4,4,GAME_OVER,10,1,2,511,rmhc,1.0,-1.0,random,1,rmhc,1,2,2,random,random,rmhc,1
1622941617,Connect4,4,GAME_OVER,9,0,2,512,mcts,-1.0,1.0,OSLA,2,mcts,2,1,1,OSLA,OSLA,mcts,0
1140920131,Connect4,5,GAME_OVER,12,1,2,513,rmhc,1.0,-1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1606344194,Connect4,3,GAME_OVER,7,0,2,514,FirstAction,-1.0,1.0,random,2,FirstAction,2,1,1,random,random,FirstAction,0
-1893738431,Connect4,25,GAME_OVER,52,1,2,515,BasicMCTS,1.0,-1.0,mcts,1,BasicMCTS,1,2,2,mcts,mcts,BasicMCTS,1
-1920731375,Connect4,4,GAME_OVER,10,1,2,516,OSLA,1.0,-1.0,rmhc,1,OSLA,1,2,2,rmhc,rmhc,OSLA,1
-190457396,Connect4,3,GAME_OVER,7,0,2,517,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
-2100090043,Connect4,6,GAME_OVER,14,1,2,518,OSLA,1.0,-1.0,mcts,1,OSLA,1,2,2,mcts,mcts,OSLA,1
128155681,Connect4,3,GAME_OVER,7,0,2,519,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
1671160290,Connect4,3,GAME_OVER,8,1,2,520,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
366663036,Connect4,24,GAME_OVER,49,0,2,521,mcts,-1.0,1.0,BasicMCTS,2,mcts,2,1,1,BasicMCTS,BasicMCTS,mcts,0
-375015914,Connect4,4,GAME_OVER,10,1,2,522,OSLA,1.0,-1.0,rhea,1,OSLA,1,2,2,rhea,rhea,OSLA,1
-1971383710,Connect4,10,GAME_OVER,21,0,2,523,random,-1.0,1.0,FirstAction,2,random,2,1,1,FirstAction,FirstAction,random,0
-1756878403,Connect4,4,GAME_OVER,10,1,2,524,rmhc,1.0,-1.0,mcts,1,rmhc,1,2,2,mcts,mcts,rmhc,1
-652887122,Connect4,6,GAME_OVER,14,1,2,525,random,1.0,-1.0,BasicMCTS,1,random,1,2,2,BasicMCTS,BasicMCTS,random,1
1290039030,Connect4,4,GAME_OVER,10,1,2,526,OSLA,1.0,-1.0,rhea,1,OSLA,1,2,2,rhea,rhea,OSLA,1
998545521,Connect4,8,GAME_OVER,18,1,2,527,random,1.0,-1.0,rhea,1,random,1,2,2,rhea,rhea,random,1
-917159410,Connect4,6,GAME_OVER,14,1,2,528,OSLA,1.0,-1.0,mcts,1,OSLA,1,2,2,mcts,mcts,OSLA,1
-556651290,Connect4,3,GAME_OVER,8,1,2,529,rmhc,1.0,-1.0,FirstAction,1,rmhc,1,2,2,FirstAction,FirstAction,rmhc,1
-1790031020,Connect4,5,GAME_OVER,11,0,2,530,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
473013498,Connect4,3,GAME_OVER,7,0,2,531,FirstAction,-1.0,1.0,rhea,2,FirstAction,2,1,1,rhea,rhea,FirstAction,0
-1800819504,Connect4,3,GAME_OVER,7,0,2,532,mcts,-1.0,1.0,rmhc,2,mcts,2,1,1,rmhc,rmhc,mcts,0
-303550391,Connect4,3,GAME_OVER,7,0,2,533,BasicMCTS,-1.0,1.0,OSLA,2,BasicMCTS,2,1,1,OSLA,OSLA,BasicMCTS,0
-109312531,Connect4,6,GAME_OVER,14,1,2,534,rmhc,1.0,-1.0,mcts,1,rmhc,1,2,2,mcts,mcts,rmhc,1
-89916808,Connect4,3,GAME_OVER,7,0,2,535,FirstAction,-1.0,1.0,OSLA,2,FirstAction,2,1,1,OSLA,OSLA,FirstAction,0
109766554,Connect4,3,GAME_OVER,7,0,2,536,BasicMCTS,-1.0,1.0,random,2,BasicMCTS,2,1,1,random,random,BasicMCTS,0
