GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1677040338,Connect4,9,GAME_OVER,20,1,2,59,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1955989905,Connect4,4,GAME_OVER,10,1,2,60,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1876231119,Connect4,3,GAME_OVER,8,1,2,61,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1294795098,Connect4,3,GAME_OVER,8,1,2,62,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
127372284,Connect4,3,GAME_OVER,8,1,2,63,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-991207967,Connect4,5,GAME_OVER,12,1,2,64,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1049258221,Connect4,3,GAME_OVER,8,1,2,65,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-2039767727,Connect4,4,GAME_OVER,10,1,2,66,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1908179359,Connect4,3,GAME_OVER,8,1,2,67,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1115136563,Connect4,3,GAME_OVER,8,1,2,68,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1493045323,Connect4,3,GAME_OVER,8,1,2,69,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-394703714,Connect4,3,GAME_OVER,8,1,2,70,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-432712488,Connect4,3,GAME_OVER,8,1,2,71,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
491282519,Connect4,3,GAME_OVER,8,1,2,72,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-884033504,Connect4,3,GAME_OVER,8,1,2,73,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
991772015,Connect4,6,GAME_OVER,14,1,2,74,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-835279488,Connect4,3,GAME_OVER,8,1,2,75,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
288423849,Connect4,8,GAME_OVER,17,0,2,76,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
